driver_id,fleet_id,full_name,gender,dob,cnic,phone,license_no,license_expiry,hire_date,experience_years,base_salary_pkr,behavior_profile,harsh_brake_rate,harsh_accel_rate,idle_time_pct,speeding_pct,total_trips,total_km_driven,accidents_count,complaints_count,ratings_avg,active
DR0048,FL002,Rizwan Qureshi,M,1984-11-23,77713-5561139-5,0346-5510085,SND-297132,2022-10-08,2020-12-14,18,41954,excellent,0.0232,0.0237,0.0289,0.0361,137,51929.5,0,3,4.46,True
DR0049,FL001,Usman Ali,M,1998-12-30,46977-5516344-3,0345-1137641,PB-194578,2023-09-10,2018-04-02,1,30965,good,0.0409,0.0504,0.0865,0.1032,146,60805.2,0,6,5.0,True
DR0050,FL004,Kashif Ahmed,M,1981-07-21,19356-8887754-3,0312-5195637,SND-968485,2022-02-21,2018-08-19,19,37992,good,0.0656,0.0475,0.0593,0.106,0,0.0,0,0,3.64,False
DR0051,FL002,Junaid Farooq,M,1979-03-20,71974-7528399-5,0321-3661058,ISB-880900,2028-03-01,2023-11-06,26,64139,average,0.1082,0.108,0.1743,0.168,142,55934.0,1,4,3.29,True
DR0052,FL003,Rabia Rana,F,1994-06-23,86637-3007387-7,0312-1149818,ISB-709303,2029-09-30,2021-08-23,9,61147,excellent,0.0178,0.0146,0.052,0.015,134,45273.6,0,5,4.1,True
DR0053,FL002,Arif Rana,M,1977-09-10,80300-2801733-3,0345-4903632,KPK-685472,2029-03-25,2018-09-03,23,52761,good,0.0537,0.0399,0.1107,0.0986,139,50036.4,0,8,3.84,True
DR0054,FL004,Saad Javed,M,1994-08-17,34874-4131076-9,0321-6430463,SND-388698,2028-09-18,2024-04-09,11,66341,good,0.0566,0.0604,0.0649,0.0816,145,37026.7,0,5,4.17,True
DR0055,FL003,Waqar Qureshi,M,1983-04-28,91290-5006173-6,0301-7501017,PB-649526,2029-08-30,2018-03-19,16,62607,average,0.1006,0.0942,0.1758,0.1701,149,45644.2,0,4,3.78,True
DR0056,FL004,Ahmed Malik,M,1983-01-05,35115-2656810-1,0315-7519606,SND-651363,2028-12-30,2018-05-10,17,68685,good,0.0496,0.0595,0.094,0.0653,141,55236.2,1,6,4.87,True
DR0057,FL004,Rizwan Ahmed,M,1995-12-30,58374-1978112-5,0346-1682046,ISB-974991,2025-05-29,2025-03-03,11,35107,excellent,0.0439,0.0113,0.0763,0.0484,145,57236.0,0,6,4.16,True
DR0058,FL004,Imran Bajwa,M,1983-01-10,23829-7005628-8,0333-2746548,PB-930956,2024-01-09,2024-04-07,23,66042,average,0.0926,0.1053,0.2192,0.2102,166,67434.1,0,6,4.0,True
DR0059,FL003,Kashif Siddiqui,M,1993-06-30,89745-5038654-9,0312-7292514,BLN-880746,2024-11-06,2025-02-07,13,53593,average,0.1106,0.0974,0.1543,0.1694,146,53983.5,1,4,4.97,True
DR0060,FL003,Asad Khan,M,1988-06-21,12844-5629792-9,0346-3595683,ISB-139569,2027-03-01,2020-06-28,14,53308,good,0.0544,0.0565,0.1117,0.0603,172,53373.9,0,1,3.66,True
