customer_id,full_name,gender,dob,cnic,nationality,phone,email,city,customer_type,license_no,has_own_license,loyalty_points,total_bookings,registration_date
CU00032,Waqar Ali,M,1975-05-19,30204-9320631-7,Pakistani,0333-4992095,waqar.ali677@gmail.com,Gujranwala,Government,,False,3605,10,2026-01-26
CU00033,Bilal Bajwa,M,1992-12-09,25203-1881193-3,Pakistani,0345-7689827,bilal.bajwa488@gmail.com,Murree,Individual,,False,2468,11,2024-09-02
CU00034,Bushra Iqbal,F,1977-01-13,66981-1199028-5,Pakistani,0345-7408965,bushra.iqbal695@gmail.com,Karachi,Individual,KPK-656011,True,336,10,2022-07-19
CU00035,Noor Ansari,F,1987-05-21,22881-5283960-7,Pakistani,0345-5056679,noor.ansari752@gmail.com,Multan,Overseas Pakistani,BLN-907924,True,1596,5,2024-11-30
CU00036,Kamran Butt,M,1974-01-19,22805-9812472-2,Pakistani,0345-6897466,kamran.butt225@gmail.com,Lahore,Corporate,KPK-364132,True,1581,8,2022-03-11
CU00037,Ali Ali,M,2002-02-05,93634-3043299-2,Pakistani,0301-3179482,ali.ali385@gmail.com,Karachi,Overseas Pakistani,,False,4637,13,2023-01-14
CU00038,Nadia Hussain,F,1973-03-19,46226-8163592-6,American Pakistani,0320-3717339,nadia.hussain800@gmail.com,Lahore,Overseas Pakistani,ISB-390756,True,511,7,2024-02-23
CU00039,Ahmed Hussain,M,2002-11-12,36302-7587312-3,Pakistani,0345-2819161,ahmed.hussain148@gmail.com,Murree,Individual,BLN-906048,True,3532,9,2023-03-24
CU00040,Hassan Bhatti,M,1992-02-03,42846-8480659-1,Pakistani,0345-3497360,hassan.bhatti669@gmail.com,Rawalpindi,Individual,ISB-139673,True,3198,6,2023-06-30
CU00041,Kashif Qureshi,M,1985-10-10,62941-2176077-9,Pakistani,0312-1055488,kashif.qureshi394@gmail.com,Islamabad,Tourist,SND-227091,True,4646,11,2025-01-01
CU00042,Noor Mirza,F,1990-08-02,80074-6705306-2,Canadian Pakistani,0345-5864699,noor.mirza664@gmail.com,Rawalpindi,Individual,PB-285197,True,4542,7,2022-03-22
CU00043,Amna Raza,F,1991-03-20,N/A,Germany,0301-8348147,amna.raza753@gmail.com,Lahore,Individual,PB-246740,True,292,5,2023-01-31
CU00044,Adeel Iqbal,M,1981-12-11,79984-8538125-1,Canadian Pakistani,0300-6692259,adeel.iqbal58@gmail.com,Lahore,Tourist,KPK-926045,True,350,14,2024-04-10
CU00045,Salman Rana,M,1989-12-07,85936-4908850-2,Pakistani,0300-3375493,salman.rana501@gmail.com,Lahore,Government,ISB-594109,True,375,8,2023-05-13
CU00046,Sana Khan,F,1967-09-23,32372-2073030-2,Pakistani,0301-9340683,sana.khan610@gmail.com,Karachi,Overseas Pakistani,BLN-331287,True,516,14,2023-02-20
CU00047,Salman Mehmood,M,1990-06-06,N/A,France,0311-6395382,salman.mehmood857@gmail.com,Lahore,Individual,PB-901351,True,373,11,2025-04-29
CU00048,Ali Sheikh,M,1972-04-14,N/A,Australia,0311-8359513,ali.sheikh250@gmail.com,Islamabad,Individual,BLN-142675,True,1092,13,2022-07-24
CU00049,Laiba Qureshi,F,1994-11-19,33516-2495541-5,Pakistani,0333-8986164,laiba.qureshi709@gmail.com,Islamabad,Overseas Pakistani,PB-316174,True,1172,13,2025-08-03
CU00050,Faisal Ansari,M,1970-09-24,75521-2476750-5,Pakistani,0321-8026061,faisal.ansari5@gmail.com,Multan,Corporate,BLN-347085,True,1572,5,2022-08-29
CU00051,Hina Gondal,F,1976-03-26,92111-4491484-5,Pakistani,0300-4250065,hina.gondal116@gmail.com,Nathiagali,Government,PB-818530,True,3886,11,2024-10-15
CU00052,Raza Ali,M,1962-06-04,90847-8602555-1,Pakistani,0301-1880075,raza.ali948@gmail.com,Karachi,Individual,BLN-284431,True,1294,9,2026-05-28
CU00053,Waqar Sheikh,M,1963-03-06,64927-4334495-6,Pakistani,0312-2847722,waqar.sheikh334@gmail.com,Abbottabad,Tourist,PB-202827,True,1942,13,2026-02-19
CU00054,Bilal Qureshi,M,1999-12-26,67129-3431711-4,Pakistani,0315-8633480,bilal.qureshi183@gmail.com,Islamabad,Individual,SND-491627,True,1117,8,2024-07-26
CU00055,Noor Hussain,F,1969-01-26,27891-2864104-8,Pakistani,0345-8016631,noor.hussain176@gmail.com,Rawalpindi,Individual,KPK-330533,True,2417,8,2025-05-21
CU00056,Salman Rana,M,2002-09-27,21334-7907115-9,Pakistani,0345-4631304,salman.rana606@gmail.com,Karachi,Individual,,False,3878,12,2024-08-05
CU00057,Junaid Ansari,M,1993-01-08,87564-3499296-1,Pakistani,0333-1741958,junaid.ansari42@gmail.com,Abbottabad,Individual,SND-869105,True,4130,7,2022-03-10
CU00058,Zubair Hashmi,M,1996-04-27,20890-1208423-7,Pakistani,0312-3226537,zubair.hashmi368@gmail.com,Peshawar,Overseas Pakistani,KPK-350675,True,743,7,2022-02-02
CU00059,Asad Butt,M,1991-07-19,69616-8780612-3,Pakistani,0333-4102874,asad.butt809@gmail.com,Lahore,Corporate,KPK-757258,True,3803,7,2025-12-12
CU00060,Fahad Rana,M,1963-03-04,65823-5526314-9,Pakistani,0315-4475340,fahad.rana807@gmail.com,Lahore,Corporate,ISB-750594,True,2750,7,2026-02-15
CU00061,Asma Raja,F,1976-04-29,15357-7133266-6,Pakistani,0311-2124172,asma.raja575@gmail.com,Abbottabad,Individual,PB-245129,True,2743,11,2023-05-04
CU00062,Zain Hashmi,M,1993-01-28,N/A,Australia,0312-6376490,zain.hashmi362@gmail.com,Multan,Corporate,KPK-628027,True,3464,11,2023-07-22
CU00063,Shoaib Siddiqui,M,1980-04-17,79717-9939831-5,Pakistani,0345-7176462,shoaib.siddiqui820@gmail.com,Lahore,Corporate,ISB-297503,True,3750,7,2022-06-28
CU00064,Omar Raza,M,2002-12-26,29392-9327014-3,Pakistani,0312-9735688,omar.raza975@gmail.com,Faisalabad,Individual,ISB-407410,True,3412,10,2025-10-29
CU00065,Usman Hashmi,M,1975-07-21,18250-1369713-4,Pakistani,0346-6635087,usman.hashmi422@gmail.com,Lahore,Tourist,BLN-459443,True,2673,9,2024-09-22
CU00066,Kamran Nawaz,M,1997-10-06,50172-3881270-5,Pakistani,0312-9124251,kamran.nawaz381@gmail.com,Lahore,Individual,KPK-907141,True,387,9,2022-10-31
CU00067,Faisal Butt,M,1987-10-01,32984-3575047-3,Pakistani,0312-2961547,faisal.butt43@gmail.com,Multan,Tourist,KPK-702433,True,1036,8,2024-06-21
CU00068,Omar Chaudhry,M,1985-03-25,68776-3727935-9,Pakistani,0320-3038264,omar.chaudhry943@gmail.com,Karachi,Corporate,ISB-524214,True,4091,8,2026-04-23
CU00069,Faisal Mirza,M,1966-12-31,48739-8950901-5,Pakistani,0315-3467651,faisal.mirza819@gmail.com,Islamabad,Tourist,BLN-863933,True,3621,14,2023-11-25
CU00070,Robia Ali,F,1966-04-03,38883-8482180-6,Pakistani,0301-6475520,robia.ali57@gmail.com,Karachi,Individual,BLN-772465,True,1598,6,2025-04-09
CU00071,Salman Farooq,M,1972-06-19,21452-9586369-7,Pakistani,0312-9228643,salman.farooq326@gmail.com,Islamabad,Individual,BLN-734470,True,4190,6,2022-04-25
CU00072,Noor Qureshi,F,1966-08-20,47309-6786800-6,Pakistani,0320-8475525,noor.qureshi896@gmail.com,Karachi,Individual,BLN-191853,True,1766,7,2026-01-30
CU00073,Mehwish Bhatti,F,1972-12-11,64289-3341557-2,Pakistani,0311-4486033,mehwish.bhatti311@gmail.com,Islamabad,Tourist,,False,3888,8,2024-12-11
CU00074,Sara Bajwa,F,1993-12-01,64331-3934217-9,American Pakistani,0345-3297254,sara.bajwa205@gmail.com,Lahore,Individual,,False,1523,8,2024-02-21
CU00075,Saad Ali,M,1996-11-27,70745-4766824-1,Pakistani,0300-3584093,saad.ali269@gmail.com,Murree,Overseas Pakistani,KPK-771670,True,3871,8,2022-09-12
CU00076,Maryam Ansari,F,1968-01-17,46335-9272010-2,Pakistani,0315-7069317,maryam.ansari596@gmail.com,Lahore,Corporate,SND-693047,True,3572,5,2023-06-13
CU00077,Saad Javed,M,1996-09-14,44018-3732123-1,Pakistani,0311-6363359,saad.javed473@gmail.com,Islamabad,Corporate,PB-474745,True,1337,6,2022-04-19
CU00078,Hamza Rana,M,2000-11-29,20069-9621249-4,Pakistani,0311-2585592,hamza.rana614@gmail.com,Faisalabad,Individual,PB-670123,True,2642,3,2023-10-10
CU00079,Maryam Hussain,F,1990-09-30,28837-1216386-3,Pakistani,0346-5721406,maryam.hussain382@gmail.com,Karachi,Individual,SND-532007,True,2787,6,2022-11-30
CU00080,Usman Nawaz,M,1969-12-01,78898-9927083-9,Pakistani,0301-8001908,usman.nawaz472@gmail.com,Murree,Tourist,ISB-222227,True,1075,15,2022-02-05
CU00081,Asad Javed,M,1976-04-06,54832-3889156-5,Pakistani,0300-2989725,asad.javed228@gmail.com,Islamabad,Individual,PB-998435,True,1166,7,2025-11-10
CU00082,Usman Chaudhry,M,1965-11-03,73472-8235132-1,Pakistani,0312-2808875,usman.chaudhry34@gmail.com,Gujranwala,Individual,BLN-721990,True,485,8,2024-08-18
CU00083,Tariq Ali,M,1962-12-21,88878-4446060-4,Pakistani,0311-6897756,tariq.ali30@gmail.com,Rawalpindi,Individual,,False,743,12,2022-10-26
CU00084,Zara Bajwa,F,1975-08-08,84741-2146505-2,Pakistani,0315-1234617,zara.bajwa542@gmail.com,Rawalpindi,Overseas Pakistani,PB-850582,True,1569,10,2023-08-01
CU00085,Arif Rizvi,M,1960-03-11,72221-7148229-3,Pakistani,0345-2800606,arif.rizvi186@gmail.com,Gujranwala,Individual,,False,2906,7,2024-02-17
CU00086,Waqar Iqbal,M,1978-04-13,78121-3280231-8,Pakistani,0321-5836389,waqar.iqbal571@gmail.com,Islamabad,Government,ISB-186243,True,2687,11,2024-10-08
CU00087,Asad Bhatti,M,1986-12-06,63383-5875279-7,Pakistani,0312-2167847,asad.bhatti917@gmail.com,Karachi,Corporate,SND-812120,True,3010,5,2023-01-03
CU00088,Raza Hashmi,M,1990-02-23,N/A,UAE,0301-3405308,raza.hashmi405@gmail.com,Islamabad,Individual,SND-828799,True,4837,2,2022-07-28
CU00089,Nadia Ahmed,F,1976-04-25,62990-3059607-4,Pakistani,0333-9373678,nadia.ahmed286@gmail.com,Gujranwala,Individual,,False,4767,8,2025-04-30
CU00090,Salman Rana,M,2002-04-23,73508-9580111-5,Pakistani,0311-8627505,salman.rana111@gmail.com,Lahore,Individual,,False,1000,6,2023-05-29
CU00091,Imran Rana,M,2002-04-10,75291-1448771-3,Pakistani,0333-6485409,imran.rana157@gmail.com,Islamabad,Individual,,False,2480,8,2025-06-27
CU00092,Arif Ahmed,M,1989-08-27,96781-9353359-8,Pakistani,0346-5390014,arif.ahmed556@gmail.com,Peshawar,Tourist,KPK-948802,True,4428,9,2025-01-24
CU00093,Arif Ali,M,1979-04-22,59327-8424860-8,Pakistani,0300-1551295,arif.ali182@gmail.com,Abbottabad,Individual,BLN-791442,True,2482,5,2025-12-17
CU00094,Hamza Malik,M,1974-01-06,74297-8882244-8,Pakistani,0346-3622462,hamza.malik519@gmail.com,Karachi,Individual,ISB-510396,True,2157,14,2024-10-10
CU00095,Zubair Gondal,M,1990-05-06,87393-1756962-3,Pakistani,0321-6853181,zubair.gondal829@gmail.com,Rawalpindi,Government,BLN-128206,True,2795,9,2024-02-19
CU00096,Shoaib Siddiqui,M,1978-06-24,50907-2425085-2,Pakistani,0320-2920509,shoaib.siddiqui346@gmail.com,Rawalpindi,Corporate,PB-120669,True,4410,12,2023-10-30
CU00097,Raza Ansari,M,1985-06-24,87068-1373065-6,Pakistani,0333-7548160,raza.ansari331@gmail.com,Lahore,Individual,,False,4690,13,2022-07-20
CU00098,Hina Javed,F,1990-04-14,N/A,UK,0315-6025126,hina.javed373@gmail.com,Islamabad,Individual,SND-311559,True,4071,6,2025-07-25
CU00099,Sara Rizvi,F,1969-08-08,39607-2542796-2,Pakistani,0315-6651204,sara.rizvi280@gmail.com,Rawalpindi,Individual,ISB-693943,True,4350,12,2024-08-31
CU00100,Shoaib Ahmed,M,1989-03-23,80772-6257190-4,Pakistani,0333-7749490,shoaib.ahmed258@gmail.com,Murree,Corporate,BLN-640403,True,3712,9,2025-10-07
CU00101,Nadia Khan,F,1988-02-29,96613-8839914-5,Pakistani,0346-8276689,nadia.khan958@gmail.com,Karachi,Overseas Pakistani,BLN-861911,True,490,10,2024-12-05
CU00102,Faisal Malik,M,1970-10-13,63773-6346113-2,Pakistani,0312-7919567,faisal.malik274@gmail.com,Islamabad,Corporate,,False,2351,5,2025-08-16
CU00103,Raza Gondal,M,1970-08-04,50703-8787307-8,Pakistani,0346-8317096,raza.gondal433@gmail.com,Lahore,Individual,ISB-311802,True,1305,7,2023-07-13
CU00104,Tariq Hussain,M,1989-07-18,73680-1334013-1,Pakistani,0301-6266448,tariq.hussain617@gmail.com,Lahore,Corporate,,False,2441,14,2022-05-11
CU00105,Mehwish Siddiqui,F,1990-02-16,84838-9392777-2,Pakistani,0346-9812402,mehwish.siddiqui258@gmail.com,Karachi,Individual,SND-194632,True,1950,14,2025-05-13
CU00106,Salman Mirza,M,1974-10-09,38574-3420581-2,Pakistani,0311-4592146,salman.mirza994@gmail.com,Murree,Tourist,,False,2249,9,2024-06-19
CU00107,Fahad Bajwa,M,1962-07-05,65545-8966730-4,Pakistani,0320-3431212,fahad.bajwa372@gmail.com,Lahore,Individual,SND-850435,True,3012,14,2023-09-24
CU00108,Sohail Ali,M,1997-09-29,98027-5021093-5,Pakistani,0346-7454030,sohail.ali317@gmail.com,Karachi,Tourist,,False,2972,10,2025-11-04
CU00109,Fahad Iqbal,M,1998-06-21,43493-6048065-2,Pakistani,0312-5989928,fahad.iqbal216@gmail.com,Lahore,Individual,,False,1312,10,2024-06-17
CU00110,Salman Farooq,M,1988-11-27,74447-8903600-7,Pakistani,0321-8086125,salman.farooq898@gmail.com,Lahore,Individual,,False,822,10,2022-11-25
CU00111,Asma Ahmed,F,1975-10-13,69409-1458871-1,Pakistani,0311-8439100,asma.ahmed811@gmail.com,Lahore,Tourist,,False,1114,7,2022-01-07
CU00112,Zain Raza,M,1974-01-27,95089-3182597-7,Pakistani,0321-8574743,zain.raza490@gmail.com,Karachi,Individual,PB-373342,True,1421,13,2025-11-08
CU00113,Kashif Raza,M,1968-11-28,84762-4766269-1,Pakistani,0300-4837070,kashif.raza929@gmail.com,Islamabad,Individual,,False,728,10,2024-08-05
CU00114,Kamran Butt,M,1962-03-26,58224-3854188-2,Pakistani,0300-9822092,kamran.butt446@gmail.com,Lahore,Individual,SND-967442,True,4048,11,2022-08-31
CU00115,Bilal Chaudhry,M,2002-06-09,60079-3184382-7,Pakistani,0312-4616607,bilal.chaudhry844@gmail.com,Nathiagali,Tourist,,False,2318,9,2026-01-28
CU00116,Mehwish Butt,F,1978-04-29,69110-5166084-6,Pakistani,0315-8686718,mehwish.butt88@gmail.com,Peshawar,Individual,ISB-591658,True,1091,13,2023-10-25
CU00117,Saima Raja,F,1969-07-08,22488-1985700-1,Pakistani,0321-4939985,saima.raja483@gmail.com,Karachi,Tourist,KPK-735829,True,4900,9,2025-12-24
CU00118,Ayesha Khan,F,1971-05-18,27332-1689962-3,Pakistani,0320-3849886,ayesha.khan516@gmail.com,Lahore,Individual,SND-455652,True,3834,7,2022-09-28
CU00119,Kamran Nawaz,M,1979-06-03,75432-5714408-6,Pakistani,0333-5746702,kamran.nawaz925@gmail.com,Islamabad,Individual,,False,2156,10,2025-06-09
CU00120,Zara Nawaz,F,1974-01-15,29826-8381800-1,Pakistani,0312-3493443,zara.nawaz56@gmail.com,Lahore,Individual,,False,1883,3,2023-01-11
CU00121,Tariq Butt,M,1991-09-01,56729-9140297-8,Pakistani,0345-2887283,tariq.butt867@gmail.com,Lahore,Individual,PB-229660,True,2863,6,2022-07-11
CU00122,Asad Butt,M,1997-06-14,96918-4563416-1,Pakistani,0346-4029442,asad.butt427@gmail.com,Islamabad,Corporate,ISB-358114,True,4080,12,2025-10-18
CU00123,Kashif Khan,M,1972-10-01,23902-6428072-3,Pakistani,0300-2360015,kashif.khan472@gmail.com,Karachi,Corporate,SND-576111,True,2206,10,2025-05-01
CU00124,Aisha Ali,F,1989-06-07,16380-5747180-6,Pakistani,0300-2186553,aisha.ali561@gmail.com,Karachi,Individual,BLN-499917,True,758,11,2024-03-27
CU00125,Imran Farooq,M,1998-10-28,62742-5780430-3,Pakistani,0301-6008781,imran.farooq503@gmail.com,Lahore,Individual,SND-871635,True,2540,12,2025-11-03
CU00126,Shoaib Raja,M,1964-04-23,60867-8993331-5,Pakistani,0315-8097946,shoaib.raja93@gmail.com,Murree,Corporate,SND-950389,True,3016,16,2025-06-11
CU00127,Zain Ansari,M,1964-03-02,94883-3601637-8,Pakistani,0346-9802632,zain.ansari86@gmail.com,Islamabad,Individual,KPK-590963,True,3582,10,2022-06-12
CU00128,Robia Raza,F,1966-08-31,78562-8176148-5,Pakistani,0315-1800747,robia.raza565@gmail.com,Gujranwala,Corporate,,False,626,7,2022-04-03
CU00129,Waqar Ansari,M,1978-07-11,56590-5275844-2,Pakistani,0346-1272943,waqar.ansari117@gmail.com,Islamabad,Corporate,,False,3791,8,2023-01-03
CU00130,Saima Ali,F,1963-09-26,69637-8548873-5,Pakistani,0321-4140556,saima.ali217@gmail.com,Lahore,Tourist,PB-182020,True,4948,9,2023-06-16
CU00131,Hina Ansari,F,1983-12-21,72537-8720254-7,Pakistani,0315-9165848,hina.ansari311@gmail.com,Islamabad,Individual,BLN-952631,True,2955,10,2025-11-15
CU00132,Saima Raza,F,1963-12-06,34670-1449886-4,Pakistani,0345-3435283,saima.raza666@gmail.com,Islamabad,Individual,,False,1980,6,2024-06-11
CU00133,Bushra Chaudhry,F,1963-11-11,25264-3786787-3,Pakistani,0345-9137735,bushra.chaudhry483@gmail.com,Rawalpindi,Individual,ISB-571351,True,4794,6,2023-05-12
CU00134,Adeel Qureshi,M,1962-04-14,74972-5878387-1,Pakistani,0345-7705523,adeel.qureshi498@gmail.com,Rawalpindi,Individual,,False,4205,11,2025-04-25
CU00135,Robia Iqbal,F,1992-01-15,18324-5493758-7,Pakistani,0345-2961940,robia.iqbal507@gmail.com,Islamabad,Individual,BLN-777568,True,2840,8,2024-07-07
CU00136,Fatima Butt,F,1972-12-01,38796-6690043-8,Pakistani,0311-5922335,fatima.butt741@gmail.com,Karachi,Individual,SND-537110,True,2951,3,2026-06-19
CU00137,Fahad Butt,M,1987-11-23,26920-3907342-4,Pakistani,0311-9257506,fahad.butt104@gmail.com,Islamabad,Corporate,SND-617708,True,2487,6,2023-04-26
CU00138,Ahmed Khan,M,1976-02-04,75991-1536367-2,Pakistani,0321-8224612,ahmed.khan117@gmail.com,Abbottabad,Individual,BLN-337701,True,988,9,2025-02-24
CU00139,Tariq Mirza,M,1995-03-17,29815-9646766-2,Pakistani,0300-8345513,tariq.mirza819@gmail.com,Rawalpindi,Individual,SND-982478,True,908,6,2022-08-05
CU00140,Laiba Sheikh,F,1996-12-11,36920-7067286-3,Pakistani,0320-8407441,laiba.sheikh781@gmail.com,Lahore,Corporate,BLN-622600,True,813,13,2022-11-12
CU00141,Kashif Malik,M,1965-07-07,10863-5115720-8,Pakistani,0321-5811005,kashif.malik518@gmail.com,Murree,Individual,,False,1402,10,2022-06-24
CU00142,Kamran Farooq,M,1978-08-13,79422-8075324-4,Pakistani,0311-8194453,kamran.farooq424@gmail.com,Rawalpindi,Corporate,,False,3353,7,2024-07-28
CU00143,Asma Raja,F,1976-03-24,77809-2167378-2,Pakistani,0321-6281544,asma.raja412@gmail.com,Faisalabad,Individual,,False,1346,15,2024-06-07
CU00144,Arif Ali,M,1989-08-12,92786-9720433-5,Pakistani,0333-7744488,arif.ali908@gmail.com,Multan,Individual,BLN-419105,True,2569,7,2023-12-06
CU00145,Tariq Nawaz,M,1987-05-19,81358-8417942-6,Pakistani,0333-4310073,tariq.nawaz903@gmail.com,Multan,Tourist,KPK-188374,True,302,12,2025-01-05
CU00146,Junaid Mehmood,M,1993-03-13,22166-9584425-9,Pakistani,0320-9746564,junaid.mehmood349@gmail.com,Abbottabad,Corporate,PB-124559,True,228,8,2026-06-20
CU00147,Tariq Iqbal,M,1997-05-01,17857-7257547-5,Pakistani,0346-6947075,tariq.iqbal127@gmail.com,Peshawar,Tourist,ISB-893310,True,1021,7,2024-07-08
CU00148,Junaid Khan,M,1980-04-29,92279-9947098-4,Pakistani,0321-6019770,junaid.khan292@gmail.com,Rawalpindi,Individual,BLN-805097,True,1146,13,2026-01-02
CU00149,Junaid Iqbal,M,1964-09-20,29209-8141928-7,Pakistani,0301-2547674,junaid.iqbal64@gmail.com,Rawalpindi,Corporate,SND-236381,True,3901,10,2023-03-16
CU00150,Shoaib Raja,M,1983-08-10,86585-9368933-7,Pakistani,0345-9213136,shoaib.raja750@gmail.com,Lahore,Corporate,,False,3415,7,2022-11-30
CU00151,Usman Hashmi,M,1991-11-25,25474-4567549-8,Pakistani,0345-1547061,usman.hashmi765@gmail.com,Lahore,Government,,False,1284,12,2025-02-18
CU00152,Hassan Gondal,M,1998-03-26,78521-3572022-2,Pakistani,0321-6115785,hassan.gondal384@gmail.com,Lahore,Individual,KPK-408261,True,3980,13,2022-02-27
CU00153,Sana Bajwa,F,1978-12-02,74067-1034993-2,Pakistani,0346-6849358,sana.bajwa70@gmail.com,Islamabad,Overseas Pakistani,ISB-537859,True,3941,16,2025-03-19
CU00154,Faisal Mirza,M,1995-01-18,28156-9468532-8,Pakistani,0345-8534223,faisal.mirza153@gmail.com,Lahore,Overseas Pakistani,KPK-193653,True,3355,12,2024-03-04
CU00155,Zubair Mirza,M,1984-04-07,94661-2485285-3,Pakistani,0300-6181610,zubair.mirza575@gmail.com,Islamabad,Corporate,,False,1014,12,2025-08-11
CU00156,Bilal Gondal,M,1984-04-21,72368-9432879-1,Pakistani,0301-9923120,bilal.gondal185@gmail.com,Karachi,Individual,ISB-388319,True,1685,13,2023-05-18
CU00157,Sumera Bhatti,F,1963-10-18,74418-1390292-6,Pakistani,0333-4028421,sumera.bhatti425@gmail.com,Peshawar,Corporate,ISB-653545,True,2599,13,2024-02-22
